artist,song,link,text
Arijit Singh,Tum Hi Ho,https://open.spotify.com/track/1,"tum hi ho tum hi ho mujhko bata de bata de kya karu main ab tumse pyar hu main itna batado ke pyar kaise hota hai"
Shreya Ghoshal,Pal Pal Dil Ke Paas,https://open.spotify.com/track/2,"pal pal dil ke paas tum rehti ho jeevan meethi pyaas yeh kehti hai har dum har dum tum hi tum"
Kumar Sanu,Dil Hai Ki Manta Nahin,https://open.spotify.com/track/3,"dil hai ki manta nahin dil hai ki manta nahin samajh ke bhi nahin samjha hai yeh kaisa bandhan hai pyar ka"
Kishore Kumar,Mere Sapno Ki Rani,https://open.spotify.com/track/4,"mere sapno ki rani kab aayegi tu aai rut mastani kab aayegi tu beeti jaaye zindagani kab aayegi tu"
Lata Mangeshkar,Lag Ja Gale,https://open.spotify.com/track/5,"lag ja gale ke phir ye haseen raat ho na ho shayad phir is janam mein mulaqat ho na ho"
Sonu Nigam,Kal Ho Naa Ho,https://open.spotify.com/track/6,"kal ho naa ho kal ho naa ho main tenu samjhawan ki na tere bina lagda ji mera dholna"
Alka Yagnik,Taal Se Taal Mila,https://open.spotify.com/track/7,"taal se taal mila de mausam ki bahar hai dil ka karar hai pyar hai pyar hai"
Mohammed Rafi,Baharon Phool Barsao,https://open.spotify.com/track/8,"baharon phool barsao mera mehboob aaya hai mere saajan aaya hai gulshan ki sair ko"
Asha Bhosle,Dum Maro Dum,https://open.spotify.com/track/9,"dum maro dum mit jaye gham bolo subah shaam hare krishna hare ram"
Armaan Malik,Butta Bomma,https://open.spotify.com/track/10,"buttabomma buttabomma naa chuste untiva nannu chuste unnava kallalone kalisina navve nuvve"
Atif Aslam,Jeena Jeena,https://open.spotify.com/track/11,"jeena jeena jeena jeena kaise jeena kaise jeena tere bina tere bina tere bina"
Neha Kakkar,Dilbar,https://open.spotify.com/track/12,"dilbar dilbar dilbar dilbar nazar se dil ka raabta hai yeh dil dil se ishara hai"
Jubin Nautiyal,Raataan Lambiyan,https://open.spotify.com/track/13,"raataan lambiyan raataan lambiyan re akhiyaan na lad jaave sun beliya ve sun beliya"
Armaan Malik,Chale Aana,https://open.spotify.com/track/14,"chale aana chale aana tum mere paas chale aana door main hoon phir bhi paas hoon darmiyaan hai yeh faasla"
Darshan Raval,Tera Zikr,https://open.spotify.com/track/15,"tera zikr hai ya itr hai mahka mahka sa yeh sama hai dil ko mere chhoo liya ishq ne tune kya kya kiya"
Shreya Ghoshal,Ghar More Pardesiya,https://open.spotify.com/track/16,"ghar more pardesiya ujad gaye dawariya tere najariya se lagaaye gawariya kajraare baawariya ke ghar ki yeh parde"
Arijit Singh,Kesariya,https://open.spotify.com/track/17,"kesariya tera ishq hai piya rang jaun jo main haath chodun na tere chhod ke sari duniya jahan teri meri baatein"
Sunidhi Chauhan,Dhoom Machale,https://open.spotify.com/track/18,"dhoom machale dhoom machale dhoom machale dhoom dhoom machale dhoom machale dhoom machale dhoom"
Vishal Dadlani,Malhari,https://open.spotify.com/track/19,"malhari malhari malhari malhari malhari malhari raja shivaji cha maza malhari rang de tu mohe gerua"
Rekha Bhardwaj,Kabira,https://open.spotify.com/track/20,"kabira maan ja kabira maan ja kabira maan ja re sunta hai guru gyaani na tu raja na tu raani na raat na din"
Shreya Ghoshal,Sun Raha Hai,https://open.spotify.com/track/21,"sun raha hai na tu ro raha hoon main sun raha hai na tu kya hua tujhe main bataun kya mera haal hai"
Arijit Singh,Ae Dil Hai Mushkil,https://open.spotify.com/track/22,"ae dil hai mushkil jeena yahan zara hatke zara bachke yeh hai bambai meri jaan kehta hai dil rasta mushkil"
Mohit Chauhan,Masakali,https://open.spotify.com/track/23,"masakali masakali ud ja re ud ja masakali masakali ud ja re ud ja phirki waali goli ud ja re ud ja"
